NEWID,WMLE
10120254ÿ,-1.23
10120255ÿ,-1.23
10120256ÿ,-1.23
10120257ÿ,-1.23
10120258ÿ,-1.23
10120259ÿ,-1.23
10120260ÿ,-1.23
10120261ÿ,-1.23
10120262ÿ,-1.23
10120263ÿ,-1.23
10120264ÿ,-1.23
10120265ÿ,-1.23
10130266ÿ,1.23
10130267ÿ,1.23
10130268ÿ,1.23
10130269ÿ,1.23
10130270ÿ,1.23
10130271ÿ,1.23
10130272ÿ,1.23
10130273ÿ,1.23
10130274ÿ,1.23
10130275ÿ,1.23
10130276ÿ,1.23
10130277ÿ,1.23
10130278ÿ,1.23
10130279ÿ,1.23
10130280ÿ,1.23
10130281ÿ,1.23
10130282ÿ,1.23
10130283ÿ,1.23
10130284ÿ,1.23
10130285ÿ,1.23
10130286ÿ,1.23
10130287ÿ,1.23
10140288ÿ,-0.18
10140289ÿ,-0.18
10140290ÿ,-0.18
10140291ÿ,-0.18
10140292ÿ,-0.18
10140293ÿ,-0.18
10140294ÿ,-0.18
10140295ÿ,-0.18
10140296ÿ,-0.18
10140297ÿ,-0.18
10140298ÿ,-0.18
10140299ÿ,-0.18
10140300ÿ,-0.18
10150301ÿ,-2.41
10150302ÿ,-2.41
10150303ÿ,-2.41
10150304ÿ,-2.41
10150305ÿ,-2.41
10150306ÿ,-2.41
10150307ÿ,-2.41
10150308ÿ,-2.41
10150309ÿ,-2.41
10150310ÿ,-2.41
10150311ÿ,-2.41
10150312ÿ,-2.41
10150313ÿ,-2.41
10150314ÿ,-2.41
10150315ÿ,-2.41
10150316ÿ,-2.41
10150317ÿ,-2.41
10150318ÿ,-2.41
10150319ÿ,-2.41
10150320ÿ,-2.41
10160321ÿ,-5.71
10160322ÿ,-5.71
10160323ÿ,-5.71
10160324ÿ,-5.71
10160325ÿ,-5.71
10160326ÿ,-5.71
10160327ÿ,-5.71
10160328ÿ,-5.71
10160329ÿ,-5.71
10160330ÿ,-5.71
10160331ÿ,-5.71
10160332ÿ,-5.71
10160333ÿ,-5.71
10160334ÿ,-5.71
10160335ÿ,-5.71
10160336ÿ,-5.71
10160337ÿ,-5.71
10160338ÿ,-5.71
10160339ÿ,-5.71
10160340ÿ,-5.71
10160341ÿ,-5.71
10160342ÿ,-5.71
10160343ÿ,-5.71
10160344ÿ,-5.71
10170345ÿ,-3.36
10170346ÿ,-3.36
10170347ÿ,-3.36
10170348ÿ,-3.36
10170349ÿ,-3.36
10170350ÿ,-3.36
10170351ÿ,-3.36
10170352ÿ,-3.36
10170353ÿ,-3.36
10170354ÿ,-3.36
10170355ÿ,-3.36
10170356ÿ,-3.36
10170357ÿ,-3.36
10170358ÿ,-3.36
10170359ÿ,-3.36
10170360ÿ,-3.36
10170361ÿ,-3.36
10170362ÿ,-3.36
10170363ÿ,-3.36
10170364ÿ,-3.36
10170365ÿ,-3.36
10170366ÿ,-3.36
10170367ÿ,-3.36
10170368ÿ,-3.36
10170369ÿ,-3.36
10170370ÿ,-3.36
10170371ÿ,-3.36
10170372ÿ,-3.36
10170373ÿ,-3.36
10170374ÿ,-3.36
10170375ÿ,-3.36
10180376ÿ,-1.6
10180377ÿ,-1.6
10180378ÿ,-1.6
10180379ÿ,-1.6
10180380ÿ,-1.6
10180381ÿ,-1.6
10180382ÿ,-1.6
10180383ÿ,-1.6
10180384ÿ,-1.6
10180385ÿ,-1.6
10180386ÿ,-1.6
10180387ÿ,-1.6
10180388ÿ,-1.6
10180389ÿ,-1.6
10180390ÿ,-1.6
10180391ÿ,-1.6
10180392ÿ,-1.6
10180393ÿ,-1.6
10180394ÿ,-1.6
10180395ÿ,-1.6
10180396ÿ,-1.6
10180397ÿ,-1.6
10180398ÿ,-1.6
10180399ÿ,-1.6
10180400ÿ,-1.6
10180401ÿ,-1.6
10180402ÿ,-1.6
10180403ÿ,-1.6
10180404ÿ,-1.6
10180405ÿ,-1.6
10180406ÿ,-1.6
10190407ÿ,-0.18
10190408ÿ,-0.18
10190409ÿ,-0.18
10190410ÿ,-0.18
10190411ÿ,-0.18
10190412ÿ,-0.18
10190413ÿ,-0.18
10190414ÿ,-0.18
10190415ÿ,-0.18
10200416ÿ,-0.18
10200417ÿ,-0.18
10200418ÿ,-0.18
10200419ÿ,-0.18
10200420ÿ,-0.18
10200421ÿ,-0.18
10200422ÿ,-0.18
10200423ÿ,-0.18
10200424ÿ,-0.18
10200425ÿ,-0.18
10200426ÿ,-0.18
10200427ÿ,-0.18
