NEWID,WMLE
10150302 ,-2.41
10150303 ,-2.41
10150304 ,-2.41
10150305 ,-2.41
10150306 ,-2.41
10150307 ,-2.41
10150308 ,-2.41
10150309 ,-2.41
10150310 ,-2.41
10150311 ,-2.41
10150312 ,-2.41
10150313 ,-2.41
10150314 ,-2.41
10150315 ,-2.41
10150316 ,-2.41
10150317 ,-2.41
10150318 ,-2.41
10150319 ,-2.41
10150320 ,-2.41
10160321 ,-5.71
10160322 ,-5.71
10160323 ,-5.71
10160324 ,-5.71
10160325 ,-5.71
10160326 ,-5.71
10160327 ,-5.71
10160328 ,-5.71
10160329 ,-5.71
10160330 ,-5.71
10160331 ,-5.71
10160332 ,-5.71
10160333 ,-5.71
10160334 ,-5.71
10160335 ,-5.71
10160336 ,-5.71
10160337 ,-5.71
10160338 ,-5.71
10160339 ,-5.71
10160340 ,-5.71
10160341 ,-5.71
10160342 ,-5.71
10160343 ,-5.71
10160344 ,-5.71
10170345 ,-3.36
10170346 ,-3.36
10170347 ,-3.36
10170348 ,-3.36
10170349 ,-3.36
10170350 ,-3.36
10170351 ,-3.36
10170352 ,-3.36
10170353 ,-3.36
10170354 ,-3.36
10170355 ,-3.36
10170356 ,-3.36
10170357 ,-3.36
10170358 ,-3.36
10170359 ,-3.36
10170360 ,-3.36
10170361 ,-3.36
10170362 ,-3.36
10170363 ,-3.36
10170364 ,-3.36
10170365 ,-3.36
10170366 ,-3.36
10170367 ,-3.36
10170368 ,-3.36
10170369 ,-3.36
10170370 ,-3.36
10170371 ,-3.36
10170372 ,-3.36
10170373 ,-3.36
10170374 ,-3.36
10170375 ,-3.36
10180376 ,-1.6
10180377 ,-1.6
10180378 ,-1.6
10180379 ,-1.6
10180380 ,-1.6
10180381 ,-1.6
10180382 ,-1.6
10180383 ,-1.6
10180384 ,-1.6
10180385 ,-1.6
10180386 ,-1.6
10180387 ,-1.6
10180388 ,-1.6
10180389 ,-1.6
10180390 ,-1.6
10180391 ,-1.6
10180392 ,-1.6
10180393 ,-1.6
10180394 ,-1.6
10180395 ,-1.6
10180396 ,-1.6
10180397 ,-1.6
10180398 ,-1.6
10180399 ,-1.6
10180400 ,-1.6
10180401 ,-1.6
10180402 ,-1.6
10180403 ,-1.6
10180404 ,-1.6
10180405 ,-1.6
10180406 ,-1.6
10190407 ,-0.18
10190408 ,-0.18
10190409 ,-0.18
10190410 ,-0.18
10190411 ,-0.18
10190412 ,-0.18
10190413 ,-0.18
10190414 ,-0.18
10190415 ,-0.18
10200416 ,-0.18
10200417 ,-0.18
10200418 ,-0.18
10200419 ,-0.18
10200420 ,-0.18
10200421 ,-0.18
10200422 ,-0.18
10200423 ,-0.18
10200424 ,-0.18
10200425 ,-0.18
10200426 ,-0.18
10200427 ,-0.18
10200428 ,-0.18
10200429 ,-0.18
10200430 ,-0.18
10200431 ,-0.18
10200432 ,-0.18
10200433 ,-0.18
10200434 ,-0.18
10200435 ,-0.18
10200436 ,-0.18
10200437 ,-0.18
10200438 ,-0.18
10200439 ,-0.18
10200440 ,-0.18
10200441 ,-0.18
10200442 ,-0.18
10200443 ,-0.18
10200444 ,-0.18
10200445 ,-0.18
10200446 ,-0.18
10200447 ,-0.18
10210448 ,-5.71
10210449 ,-5.71
10210450 ,-5.71
10210451 ,-5.71
10210452 ,-5.71
10210453 ,-5.71
10210454 ,-5.71
10210455 ,-5.71
10210456 ,-5.71
10210457 ,-5.71
10210458 ,-5.71
10210459 ,-5.71
10210460 ,-5.71
10210461 ,-5.71
10210462 ,-5.71
10210463 ,-5.71
10210464 ,-5.71
10210465 ,-5.71
10210466 ,-5.71
10210467 ,-5.71
10210468 ,-5.71
10210469 ,-5.71
10210470 ,-5.71
10210471 ,-5.71
10210472 ,-5.71
10210473 ,-5.71
10210474 ,-5.71
